brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
109855.0,for_sale,35000.0,2.0,2.0,0.02,521722.0,Atlanta,Georgia,30316.0,1000.0,2022-04-22 00:00:00
29103.0,for_sale,725000.0,4.0,4.0,0.18,1769961.0,Estero,Florida,33967.0,2696.0,N/A
41446.0,for_sale,410000.0,2.0,2.0,0.14,750704.0,North Venice,Florida,34275.0,1272.0,2018-08-23 00:00:00
39898.0,for_sale,89900.0,2.0,1.0,0.1,1014363.0,Celina,Ohio,45822.0,768.0,N/A
57595.0,for_sale,344210.0,2.0,2.0,0.0,1279353.0,Tampa,Florida,33619.0,1516.0,2021-07-20 00:00:00
83939.0,for_sale,1100000.0,4.0,3.0,0.0,322290.0,Hollywood,Florida,33019.0,2338.0,2006-11-21 00:00:00
52809.0,for_sale,1100000.0,4.0,4.0,0.3,700570.0,Cary,North Carolina,27513.0,3728.0,2005-04-29 00:00:00
45835.0,for_sale,294900.0,2.0,2.0,0.0,235108.0,Cleveland,Ohio,44113.0,1168.0,2016-08-16 00:00:00
6916.0,for_sale,335000.0,4.0,3.0,0.28,1227961.0,Dallas,Georgia,30157.0,2168.0,2022-03-17 00:00:00
54293.0,ready_to_build,507516.0,4.0,2.0,0.0,1411206.0,Lancaster,Pennsylvania,17601.0,2415.0,N/A
6906.0,for_sale,479000.0,3.0,2.0,1.16,175290.0,Ball Ground,Georgia,30107.0,2134.0,2022-04-29 00:00:00
25963.0,for_sale,299990.0,3.0,2.0,0.0,1737712.0,Wildwood,Florida,34785.0,1672.0,N/A
35637.0,for_sale,159000.0,3.0,3.0,0.04,1338825.0,Tampa,Florida,33617.0,1238.0,2005-12-06 00:00:00
9779.0,ready_to_build,1815000.0,2.0,2.0,0.0,7155.0,Plainview,New York,11803.0,2757.0,N/A
61174.0,for_sale,154900.0,4.0,4.0,0.4,34281.0,Benson,Illinois,61516.0,2480.0,N/A
74476.0,for_sale,1800000.0,6.0,7.0,3.02,1233219.0,Pittsburgh,Pennsylvania,15238.0,5834.0,2001-07-26 00:00:00
48915.0,for_sale,650500.0,3.0,3.0,0.23,1613199.0,Sunset Beach,North Carolina,28468.0,2816.0,N/A
72865.0,for_sale,549900.0,4.0,3.0,1.1,628351.0,Smoke Rise,Georgia,30087.0,3445.0,2016-04-19 00:00:00
78110.0,for_sale,314900.0,2.0,2.0,0.11,759250.0,Boynton Beach,Florida,33426.0,1288.0,2005-04-06 00:00:00
19493.0,for_sale,299999.0,3.0,1.0,0.0,733693.0,Yonkers,New York,10701.0,650.0,2013-03-06 00:00:00
24215.0,for_sale,2975000.0,5.0,6.0,0.14,237547.0,Santa Rosa Beach,Florida,32459.0,3188.0,2018-04-13 00:00:00
41670.0,for_sale,115000.0,4.0,2.0,0.12,1342155.0,Fulton,New York,13069.0,1924.0,2015-09-29 00:00:00
97727.0,for_sale,325000.0,3.0,2.0,0.16,1061384.0,Garland,Texas,75042.0,1391.0,1982-11-05 00:00:00
32270.0,for_sale,529999.0,4.0,3.0,1.44,1658941.0,Jasper,Texas,75951.0,2910.0,N/A
9940.0,for_sale,299000.0,1.0,1.0,0.0,263755.0,Rockaway Park,New York,11694.0,800.0,2021-10-18 00:00:00
60010.0,ready_to_build,441900.0,3.0,2.0,0.0,1102876.0,Powell,Ohio,43065.0,2161.0,N/A
53662.0,for_sale,525000.0,4.0,4.0,0.21,1729985.0,Orlando,Florida,32829.0,3342.0,2005-06-01 00:00:00
67729.0,for_sale,607725.0,2.0,2.0,0.0,842940.0,Naples,Florida,34112.0,1467.0,N/A
80017.0,for_sale,1675000.0,5.0,4.0,0.5,1223629.0,Sandy Springs,Georgia,30342.0,3500.0,N/A
